epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.0415,1.7379,1.36136,1.02645,0.22599,0.26801,0.15622,0.05768,2.52922,2.26602,1.12961,0.0677857,0.000325397,0.000325397
2,108.861,1.38415,1.03147,0.95274,0.48701,0.38687,0.36483,0.19952,1.51356,1.17578,0.95892,0.0347264,0.000599444,0.000599444
3,137.428,1.3952,1.02294,0.9503,0.44362,0.41837,0.36044,0.20147,1.4845,1.41439,0.95355,0.00160714,0.000813492,0.000813492
4,165.727,1.36427,0.98806,0.95256,0.52234,0.39295,0.3998,0.23735,1.41374,1.21372,0.94799,0.00073,0.00073,0.00073
5,194.029,1.32487,0.94478,0.93524,0.50239,0.39892,0.40938,0.22899,1.47143,1.07331,0.93384,0.00064,0.00064,0.00064
6,221.909,1.31074,0.92376,0.93417,0.57026,0.4444,0.45012,0.2687,1.34277,0.92918,0.92998,0.00055,0.00055,0.00055
7,250.123,1.27863,0.88096,0.93151,0.58906,0.43988,0.46488,0.28749,1.31315,0.92986,0.92849,0.00046,0.00046,0.00046
8,278.302,1.26076,0.85781,0.92475,0.58255,0.44882,0.46823,0.28231,1.30594,0.90153,0.92454,0.00037,0.00037,0.00037
9,306.286,1.23608,0.83665,0.91759,0.6056,0.46023,0.48558,0.30283,1.26062,0.85734,0.91222,0.00028,0.00028,0.00028
10,334.447,1.2242,0.81482,0.91336,0.6184,0.46462,0.49432,0.3081,1.25546,0.84685,0.90889,0.00019,0.00019,0.00019
