epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.9758,1.88873,1.36642,1.05647,0.42173,0.33242,0.28884,0.14588,1.85966,1.34886,1.05374,0.000542437,0.000542437,0.000542437
2,105.916,1.52904,1.04519,0.97309,0.51839,0.38579,0.37663,0.21347,1.57144,1.11544,0.98407,0.000999274,0.000999274,0.000999274
3,135.967,1.49837,1.01949,0.96176,0.50635,0.4033,0.3937,0.21025,1.64192,1.11517,0.98638,0.00135609,0.00135609,0.00135609
4,166.249,1.46751,1.01336,0.96411,0.506,0.37296,0.36608,0.20701,1.56801,1.18344,0.9868,0.00121691,0.00121691,0.00121691
5,196.062,1.42631,0.97822,0.94958,0.53636,0.40154,0.40571,0.23298,1.54067,1.09948,0.97834,0.00106688,0.00106688,0.00106688
6,227.188,1.40799,0.95363,0.94549,0.52764,0.40966,0.40268,0.2303,1.48488,1.06975,0.96177,0.00091685,0.00091685,0.00091685
7,257.324,1.3855,0.93774,0.94596,0.54628,0.40872,0.41795,0.24169,1.45696,1.02524,0.96632,0.00076682,0.00076682,0.00076682
8,287.721,1.3737,0.92086,0.94587,0.54661,0.41298,0.41641,0.2368,1.47494,1.03876,0.9592,0.00061679,0.00061679,0.00061679
9,318.038,1.35914,0.90582,0.93715,0.55385,0.43539,0.43778,0.25035,1.43162,0.97597,0.94876,0.00046676,0.00046676,0.00046676
10,348.691,1.35372,0.89987,0.9352,0.54554,0.42345,0.43341,0.25584,1.41696,0.98951,0.94994,0.00031673,0.00031673,0.00031673
