epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.034,1.5094,2.14052,1.11031,0.63618,0.41482,0.47785,0.35384,1.2162,1.19181,0.97907,0.000237383,0.000237383,0.000237383
2,203.016,1.33527,1.31172,1.03132,0.61554,0.50956,0.56533,0.4067,1.21699,1.0981,0.97763,0.000465971,0.000465971,0.000465971
3,300.63,1.3192,1.22406,1.02599,0.49001,0.54158,0.53902,0.38208,1.14584,1.06518,0.96163,0.000685133,0.000685133,0.000685133
4,399.572,1.28633,1.14526,1.01925,0.64305,0.56975,0.62031,0.44899,1.14512,0.98644,0.96015,0.000671588,0.000671588,0.000671588
5,498.102,1.26492,1.10151,1.01298,0.67341,0.6213,0.66179,0.47928,1.12706,0.95027,0.95312,0.000657451,0.000657451,0.000657451
6,595.951,1.23384,1.0472,1.00184,0.68537,0.64266,0.6942,0.51054,1.10021,0.87229,0.9486,0.000643314,0.000643314,0.000643314
7,693.271,1.19643,0.99428,0.99329,0.71953,0.66371,0.72269,0.5447,1.08049,0.8617,0.94807,0.000629177,0.000629177,0.000629177
8,790.309,1.19053,0.96297,0.98709,0.71116,0.65728,0.71722,0.53578,1.06481,0.85977,0.93644,0.00061504,0.00061504,0.00061504
9,887.609,1.18045,0.94598,0.98519,0.75419,0.64667,0.73505,0.54427,1.07123,0.83787,0.94014,0.000600902,0.000600902,0.000600902
10,985.509,1.1736,0.93042,0.98358,0.73245,0.64605,0.7384,0.54437,1.05528,0.83368,0.93125,0.000586765,0.000586765,0.000586765
11,1085.73,1.14786,0.8953,0.97507,0.78909,0.65968,0.76001,0.57827,1.04644,0.78571,0.93196,0.000572628,0.000572628,0.000572628
12,1185.31,1.13541,0.86847,0.96722,0.77977,0.72602,0.79551,0.60018,1.03013,0.77291,0.92954,0.000558491,0.000558491,0.000558491
13,1282.87,1.11927,0.84608,0.96663,0.80146,0.6977,0.78958,0.6024,1.02738,0.75414,0.92924,0.000544354,0.000544354,0.000544354
14,1380.97,1.13288,0.85982,0.9684,0.79924,0.72063,0.8101,0.6193,1.01752,0.75712,0.92689,0.000530216,0.000530216,0.000530216
15,1480.19,1.10688,0.82298,0.96085,0.81602,0.69947,0.79651,0.61286,1.0022,0.73816,0.91834,0.000516079,0.000516079,0.000516079
16,1580.12,1.10555,0.82696,0.96255,0.81872,0.73773,0.81593,0.62843,0.99421,0.73843,0.91661,0.000501942,0.000501942,0.000501942
17,1679.13,1.10235,0.80856,0.95821,0.8047,0.73035,0.80977,0.62222,1.00732,0.72478,0.92224,0.000487805,0.000487805,0.000487805
18,1778.1,1.11724,0.81046,0.96273,0.81755,0.75065,0.82597,0.63668,0.99837,0.7156,0.92257,0.000473668,0.000473668,0.000473668
19,1876.26,1.08513,0.79292,0.95502,0.77349,0.74437,0.81888,0.62932,1.00219,0.72882,0.92147,0.00045953,0.00045953,0.00045953
20,1972.98,1.08583,0.77576,0.95461,0.83924,0.73746,0.83665,0.6501,0.97526,0.69088,0.91533,0.000445393,0.000445393,0.000445393
21,2070.74,1.08709,0.78081,0.95361,0.84726,0.77116,0.84853,0.6623,0.97334,0.67372,0.91335,0.000431256,0.000431256,0.000431256
22,2170.69,1.06864,0.76081,0.9467,0.85874,0.74736,0.8427,0.66101,0.96778,0.67295,0.91041,0.000417119,0.000417119,0.000417119
23,2269.27,1.06953,0.75081,0.94729,0.82457,0.768,0.84579,0.65663,0.9691,0.68038,0.9146,0.000402982,0.000402982,0.000402982
24,2367.62,1.05386,0.74176,0.94363,0.8489,0.76144,0.85229,0.6628,0.96563,0.67126,0.91377,0.000388844,0.000388844,0.000388844
25,2465.94,1.04888,0.72721,0.94213,0.83339,0.7905,0.86189,0.66989,0.9626,0.65699,0.91438,0.000374707,0.000374707,0.000374707
26,2564.08,1.03295,0.71733,0.93789,0.83652,0.78484,0.85723,0.67104,0.96015,0.65357,0.91372,0.00036057,0.00036057,0.00036057
27,2661.27,1.04517,0.71247,0.93972,0.82863,0.79733,0.85801,0.67141,0.96188,0.65604,0.90852,0.000346433,0.000346433,0.000346433
28,2759.7,1.04307,0.71066,0.93728,0.84834,0.78185,0.86014,0.67313,0.95022,0.6469,0.90912,0.000332296,0.000332296,0.000332296
29,2857.87,1.03648,0.70593,0.93831,0.84421,0.78753,0.85896,0.67046,0.95035,0.64473,0.91286,0.000318158,0.000318158,0.000318158
30,2956.02,1.02117,0.69366,0.93134,0.83704,0.78617,0.85797,0.67226,0.95309,0.6464,0.90998,0.000304021,0.000304021,0.000304021
31,3053.48,1.01556,0.69012,0.93384,0.84613,0.79225,0.86659,0.67753,0.95054,0.63668,0.90867,0.000289884,0.000289884,0.000289884
32,3151.94,1.02884,0.6846,0.93199,0.86131,0.78612,0.87315,0.68867,0.94085,0.62794,0.90743,0.000275747,0.000275747,0.000275747
33,3250.22,1.0127,0.67068,0.92867,0.86884,0.79035,0.87316,0.68565,0.94212,0.62822,0.90814,0.00026161,0.00026161,0.00026161
34,3348.34,1.00585,0.66242,0.92668,0.86547,0.80154,0.87406,0.68857,0.93294,0.62135,0.90543,0.000247472,0.000247472,0.000247472
35,3446.45,1.00685,0.66403,0.9266,0.85302,0.79565,0.86755,0.67991,0.94072,0.62609,0.90648,0.000233335,0.000233335,0.000233335
36,3544.55,1.0026,0.65098,0.92427,0.85178,0.81413,0.87733,0.69241,0.93096,0.61494,0.90723,0.000219198,0.000219198,0.000219198
37,3642.97,0.99037,0.64967,0.91886,0.85223,0.80622,0.87305,0.69123,0.93309,0.61861,0.90784,0.000205061,0.000205061,0.000205061
38,3740.43,1.00098,0.64746,0.92494,0.84582,0.80914,0.87826,0.69619,0.92914,0.60635,0.90608,0.000190924,0.000190924,0.000190924
39,3836.84,0.99803,0.63876,0.92236,0.85303,0.80375,0.8747,0.69218,0.93421,0.60948,0.90746,0.000176786,0.000176786,0.000176786
